config,config_family,noise_pct,perturbation,perturb_label,n_samples,wer_gt_1,wer_gt_2,wer_gt_5,wer_gt_10,wer_gt_20,wrong_fluent_rate
base,base,0,full_noise_amp0.5_dur0.0,"full_noise
amp=0.5, dur=0",1000,0.586,0.114,0.028,0.024,0.014,0.561
rr_64pct,rr,64,full_noise_amp0.5_dur0.0,"full_noise
amp=0.5, dur=0",1000,0.224,0.044,0.027,0.026,0.009,0.178
ru_64pct,ru,64,full_noise_amp0.5_dur0.0,"full_noise
amp=0.5, dur=0",1000,0.474,0.073,0.011,0.008,0.0,0.426
base,base,0,full_noise_amp0.75_dur0.0,"full_noise
amp=0.75, dur=0",1000,0.677,0.16,0.018,0.011,0.003,0.656
rr_64pct,rr,64,full_noise_amp0.75_dur0.0,"full_noise
amp=0.75, dur=0",1000,0.169,0.048,0.037,0.034,0.011,0.146
ru_64pct,ru,64,full_noise_amp0.75_dur0.0,"full_noise
amp=0.75, dur=0",1000,0.533,0.101,0.014,0.01,0.0,0.497
rr_64pct,rr,64,none,none,1000,0.006,0.001,0.001,0.001,0.0,0.003
base,base,0,onset_noise_amp0.05_dur0.5,"onset_noise
amp=0.05, dur=0.5",1000,0.007,0.001,0.001,0.001,0.0,0.003
rr_64pct,rr,64,onset_noise_amp0.05_dur0.5,"onset_noise
amp=0.05, dur=0.5",1000,0.006,0.001,0.001,0.001,0.0,0.003
base,base,0,onset_noise_amp0.5_dur0.5,"onset_noise
amp=0.5, dur=0.5",1000,0.006,0.001,0.001,0.001,0.0,0.002
rr_64pct,rr,64,onset_noise_amp0.5_dur0.5,"onset_noise
amp=0.5, dur=0.5",1000,0.009,0.002,0.002,0.002,0.001,0.004
ru_64pct,ru,64,onset_noise_amp0.5_dur0.5,"onset_noise
amp=0.5, dur=0.5",1000,0.008,0.001,0.001,0.001,0.0,0.006
base,base,0,onset_noise_amp0.75_dur0.5,"onset_noise
amp=0.75, dur=0.5",1000,0.007,0.001,0.001,0.001,0.0,0.004
rr_64pct,rr,64,onset_noise_amp0.75_dur0.5,"onset_noise
amp=0.75, dur=0.5",1000,0.007,0.001,0.001,0.001,0.0,0.003
ru_64pct,ru,64,onset_noise_amp0.75_dur0.5,"onset_noise
amp=0.75, dur=0.5",1000,0.009,0.001,0.001,0.001,0.0,0.006
base,base,0,reverb_amp0.5_dur0.5,"reverb
amp=0.5, dur=0.5",1000,0.009,0.002,0.001,0.001,0.0,0.007
rr_64pct,rr,64,reverb_amp0.5_dur0.5,"reverb
amp=0.5, dur=0.5",1000,0.015,0.004,0.002,0.002,0.0,0.011
ru_64pct,ru,64,reverb_amp0.5_dur0.5,"reverb
amp=0.5, dur=0.5",1000,0.009,0.002,0.001,0.0,0.0,0.004
base,base,0,reverb_amp0.8_dur0.5,"reverb
amp=0.8, dur=0.5",1000,0.02,0.002,0.001,0.001,0.0,0.012
rr_64pct,rr,64,reverb_amp0.8_dur0.5,"reverb
amp=0.8, dur=0.5",1000,0.019,0.003,0.001,0.001,0.0,0.013
ru_64pct,ru,64,reverb_amp0.8_dur0.5,"reverb
amp=0.8, dur=0.5",1000,0.014,0.002,0.001,0.0,0.0,0.007
